class,n,accuracy,abstain_rate
alpine_sea_holly,3,0.6666666666666666,0.0
anthurium,3,1.0,0.0
artichoke,3,1.0,0.0
azalea,3,1.0,0.3333333333333333
ball_moss,3,1.0,0.0
balloon_flower,3,0.6666666666666666,0.0
barbeton_daisy,3,1.0,0.0
bearded_iris,3,1.0,0.0
bee_balm,3,1.0,0.0
bird_of_paradise,3,1.0,0.0
bishop_of_llandaff,3,1.0,0.0
black_eyed_susan,3,1.0,0.0
blackberry_lily,3,1.0,0.0
blanket_flower,3,1.0,0.0
bolero_deep_blue,3,1.0,0.0
bougainvillea,3,1.0,0.0
bromelia,3,1.0,0.0
buttercup,3,1.0,0.0
californian_poppy,3,0.6666666666666666,0.3333333333333333
camellia,3,0.3333333333333333,0.3333333333333333
canna_lily,3,0.6666666666666666,0.0
canterbury_bells,3,1.0,0.3333333333333333
cape_flower,3,1.0,0.0
carnation,3,1.0,0.0
cautleya_spicata,3,1.0,0.0
clematis,3,1.0,0.0
colts_foot,3,1.0,0.0
columbine,3,1.0,0.0
common_dandelion,3,1.0,0.0
corn_poppy,3,1.0,0.0
cyclamen,3,1.0,0.0
daffodil,3,1.0,0.0
desert_rose,3,1.0,0.0
english_marigold,3,0.6666666666666666,0.0
fire_lily,3,1.0,0.0
foxglove,3,1.0,0.0
frangipani,3,1.0,0.0
fritillary,3,1.0,0.0
garden_phlox,3,1.0,0.0
gaura,3,0.6666666666666666,0.0
gazania,3,1.0,0.0
geranium,3,1.0,0.0
giant_white_arum_lily,3,1.0,0.0
globe_flower,3,1.0,0.0
globe_thistle,3,1.0,0.0
grape_hyacinth,3,1.0,0.0
great_masterwort,3,1.0,0.0
hard_leaved_pocket_orchid,3,1.0,0.0
hibiscus,3,0.6666666666666666,0.0
hippeastrum,3,1.0,0.0
japanese_anemone,3,0.6666666666666666,0.0
king_protea,3,1.0,0.0
lenten_rose,3,0.6666666666666666,0.0
lotus,3,1.0,0.0
love_in_the_mist,3,1.0,0.0
magnolia,3,1.0,0.0
mallow,3,0.6666666666666666,0.0
marigold,3,1.0,0.0
mexican_aster,3,1.0,0.0
mexican_petunia,3,1.0,0.0
monkshood,3,1.0,0.0
moon_orchid,3,1.0,0.0
morning_glory,3,1.0,0.0
orange_dahlia,3,1.0,0.0
osteospermum,3,1.0,0.0
oxeye_daisy,3,1.0,0.0
passion_flower,3,1.0,0.0
pelargonium,3,1.0,0.0
peruvian_lily,3,1.0,0.0
petunia,3,0.3333333333333333,0.0
pincushion_flower,3,1.0,0.0
pink_primrose,3,1.0,0.0
pink_yellow_dahlia,3,1.0,0.0
poinsettia,3,1.0,0.0
primula,3,1.0,0.0
prince_of_wales_feathers,3,1.0,0.0
purple_coneflower,3,1.0,0.0
red_ginger,3,1.0,0.0
rose,3,1.0,0.0
ruby_lipped_cattleya,3,0.6666666666666666,0.0
siam_tulip,3,1.0,0.0
silverbush,3,1.0,0.0
snapdragon,3,1.0,0.3333333333333333
spear_thistle,3,1.0,0.0
spring_crocus,3,1.0,0.0
stemless_gentian,3,1.0,0.0
sunflower,3,1.0,0.0
sweet_pea,3,0.6666666666666666,0.0
sweet_william,3,0.3333333333333333,0.0
sword_lily,3,1.0,0.0
thorn_apple,3,1.0,0.0
tiger_lily,3,1.0,0.0
toad_lily,3,1.0,0.0
tree_mallow,3,1.0,0.0
tree_poppy,3,1.0,0.0
trumpet_creeper,3,1.0,0.0
wallflower,3,0.6666666666666666,0.0
water_lily,3,1.0,0.0
watercress,3,1.0,0.0
wild_pansy,3,1.0,0.0
windflower,3,1.0,0.0
yellow_iris,3,1.0,0.0
